選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
池田　隆英,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*石井　一成,108,364,332,41,86,17,3,6,127,30,3,0,8,1,23,1,0,86,1,0.259,0.383,0.306
*五十幡　亮汰,118,307,284,45,66,5,10,1,94,18,25,10,3,0,18,0,2,73,1,0.232,0.331,0.283
*伊藤　大海,27,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
今川　優馬,18,57,53,9,13,3,0,2,22,5,0,0,0,0,4,0,0,14,2,0.245,0.415,0.298
*上原　健太,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
梅林　優貴,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
*加藤　貴之,20,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
金村　尚真,28,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
*上川畑　大悟,35,81,72,4,12,3,0,0,15,5,0,0,0,0,7,0,2,9,4,0.167,0.208,0.259
*河野　竜生,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北山　亘基,22,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
*清宮　幸太郎,138,577,525,63,143,25,1,12,206,65,8,1,0,5,46,0,1,85,9,0.272,0.392,0.329
畔柳　亨丞,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
古林　睿煬,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
郡司　裕也,111,422,364,46,108,15,0,10,153,42,0,0,2,5,45,0,6,71,7,0.297,0.42,0.379
ザバラ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*齋藤　友貴哉,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*阪口　樂,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
*柴田　獅子,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
進藤　勇也,13,31,26,3,2,0,0,0,2,0,0,0,3,0,2,0,0,8,1,0.077,0.077,0.143
杉浦　稔大,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*孫　易磊,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
達　孝太,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
田中　正義,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
玉井　大翔,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*田宮　裕涼,79,274,245,29,62,6,1,5,85,21,2,4,7,3,18,0,1,44,4,0.253,0.347,0.303
*中島　卓也,32,30,21,4,7,0,0,0,7,1,2,0,2,0,7,0,0,7,0,0.333,0.333,0.5
生田目　翼,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奈良間　大己,86,103,91,11,20,2,0,1,25,3,3,1,3,0,7,0,2,34,1,0.22,0.275,0.29
野村　佑希,101,369,339,28,91,18,1,8,135,35,1,1,0,1,26,0,3,70,4,0.268,0.398,0.325
バーヘイゲン,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島　蓮,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福谷　浩司,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
伏見　寅威,64,175,158,7,38,5,0,2,49,11,0,0,5,0,10,0,2,34,5,0.241,0.31,0.294
*細川　凌平,16,19,16,1,2,0,0,0,2,1,2,0,2,0,1,0,0,2,0,0.125,0.125,0.176
*細野　晴希,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*堀　瑞輝,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マルティネス,34,73,69,6,12,3,0,1,18,8,0,0,0,1,2,0,1,25,1,0.174,0.261,0.205
松岡　洸希,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
松本　剛,66,185,160,13,30,4,1,0,36,7,3,4,4,0,17,0,4,24,5,0.188,0.225,0.282
万波　中正,127,465,420,48,96,23,1,20,181,56,3,3,1,0,43,6,1,125,10,0.229,0.431,0.302
水谷　瞬,87,321,296,45,82,16,3,12,140,41,6,3,1,3,18,1,3,77,1,0.277,0.473,0.322
*水野　達稀,100,332,295,32,73,10,7,7,118,39,5,0,4,2,21,0,10,69,4,0.247,0.4,0.317
宮崎　一樹,5,6,6,0,1,1,0,0,2,1,0,0,0,0,0,0,0,4,0,0.167,0.333,0.167
*宮西　尚生,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*矢澤　宏太,86,182,166,20,41,5,2,1,53,18,11,2,1,1,10,0,4,46,2,0.247,0.319,0.304
柳川　大晟,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山縣　秀,84,198,185,15,43,7,0,3,59,11,3,0,8,2,1,0,2,34,4,0.232,0.319,0.242
*山﨑　福也,20,7,7,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0.143,0.143,0.143
山本　拓実,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吉田　賢吾,47,112,106,9,23,6,1,4,43,9,0,1,0,0,5,0,1,20,5,0.217,0.406,0.259
レイエス,132,531,476,62,132,17,0,32,245,90,0,0,0,3,52,5,0,129,8,0.277,0.515,0.347
#NAME?,5,7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.143,0.143,0.143
アセベド,5,12,11,1,2,0,0,1,5,2,0,0,0,0,1,0,0,3,0,0.182,0.455,0.25
愛斗,17,20,15,2,2,1,0,0,3,1,0,0,4,0,0,0,1,5,0,0.133,0.2,0.188
東妻　勇輔,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
池田　来翔,83,249,227,22,54,11,0,5,80,20,2,1,4,3,11,0,4,45,8,0.238,0.352,0.282
石川　柊太,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
石川　慎吾,14,36,35,2,3,1,0,0,4,3,0,0,0,0,1,0,0,11,0,0.086,0.114,0.111
石垣　雅海,20,20,14,0,2,1,0,0,3,0,1,0,2,0,4,1,0,5,0,0.143,0.214,0.333
*一條　力真,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*上田　希由翔,66,184,166,18,35,11,0,3,55,20,0,0,1,1,15,0,1,36,3,0.211,0.331,0.279
植田　将太,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2
岡　大海,65,181,157,17,43,6,1,2,57,18,3,1,2,0,16,1,6,36,1,0.274,0.363,0.363
*小川　龍成,87,202,178,14,47,2,0,0,49,13,9,3,8,1,12,0,3,33,4,0.264,0.275,0.32
*小島　和哉,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小野　郁,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*角中　勝也,27,53,42,3,7,0,0,1,10,5,1,0,2,1,8,0,0,9,0,0.167,0.238,0.294
唐川　侑己,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河村　説人,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*菊地　吏玖,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*木村　優人,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ゲレーロ,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*サモンズ,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
坂井　遼,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*坂本　光士郎,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*佐藤　都志也,68,224,198,13,41,8,0,4,61,18,3,0,3,1,18,1,4,42,1,0.207,0.308,0.285
*澤田　圭佑,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
澤村　拓一,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*鈴木　昭汰,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ソト,102,367,330,31,76,14,0,13,129,44,0,0,0,2,32,0,3,98,6,0.23,0.391,0.302
*高野　脩汰,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*髙部　瑛斗,111,384,357,49,102,15,7,2,137,34,20,4,5,5,14,0,3,49,3,0.286,0.384,0.314
*立松　由宇,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
*田中　晴也,13,5,5,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0.2,0.2,0.2
種市　篤暉,24,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
田村　龍弘,18,43,38,1,6,0,0,1,9,3,0,0,5,0,0,0,0,10,3,0.158,0.237,0.158
茶谷　健太,43,41,36,3,8,2,0,0,10,2,0,0,2,0,3,0,0,9,0,0.222,0.278,0.282
*寺地　隆成,116,445,414,33,106,16,0,5,137,33,0,0,3,2,19,2,7,67,8,0.256,0.331,0.299
友杉　篤輝,116,319,278,28,64,11,2,1,82,15,7,7,21,2,15,1,3,45,3,0.23,0.295,0.275
中村　奨吾,20,64,59,2,11,2,0,1,16,3,0,0,0,0,4,0,1,9,0,0.186,0.271,0.25
*中村　稔弥,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*中森　俊介,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西川　史礁,108,444,417,42,117,27,3,3,159,37,1,0,0,3,16,0,8,85,6,0.281,0.381,0.318
西野　勇士,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西村　天裕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早坂　響,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*廣池　康志郎,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
廣畑　敦也,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*藤岡　裕大,102,373,320,25,82,17,1,4,113,25,1,0,6,4,42,1,1,67,11,0.256,0.353,0.341
*藤原　恭大,107,452,409,38,111,12,6,4,147,24,15,6,4,0,33,2,6,80,3,0.271,0.359,0.335
二木　康太,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボス,22,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0.2,0.2,0.2
*ポランコ,39,154,139,13,28,3,0,5,46,13,0,0,0,1,14,1,0,35,1,0.201,0.331,0.273
益田　直也,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
松川　虎生,6,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0.111
*美馬　学,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*宮崎　竜成,39,110,98,7,19,3,0,0,22,3,1,0,5,0,3,0,4,31,1,0.194,0.224,0.248
八木　彬,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*安田　尚憲,93,350,317,22,77,15,0,0,92,25,1,1,0,4,25,2,4,65,6,0.243,0.29,0.303
山口　航輝,35,112,106,11,27,2,0,7,50,24,1,1,0,1,5,0,0,37,3,0.255,0.472,0.286
山本　大斗,107,417,385,40,79,18,0,11,130,33,2,0,1,1,24,0,6,112,13,0.205,0.338,0.262
横山　陸人,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*吉川　悠斗,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*和田　康士朗,17,10,8,4,1,1,0,0,2,1,0,1,0,1,1,0,0,2,0,0.125,0.25,0.2
浅村　栄斗,96,389,331,27,79,13,1,9,121,34,1,0,0,1,51,4,6,81,11,0.239,0.366,0.35
阿部　寿樹,43,129,105,11,23,5,1,3,39,8,1,1,1,1,22,0,0,31,1,0.219,0.371,0.352
石原　彪,31,38,32,1,3,0,0,0,3,3,0,0,3,0,3,0,0,12,0,0.094,0.094,0.171
伊藤　裕季也,51,130,117,7,25,8,1,1,38,7,2,0,2,1,9,1,1,34,3,0.214,0.325,0.273
入江　大樹,4,10,10,0,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0.1,0.1,0.1
*内　星龍,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
江原　雅裕,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大内　誠弥,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
太田　光,111,231,188,14,33,7,2,1,47,12,0,0,14,1,23,0,5,47,6,0.176,0.25,0.281
*岡島　豪郎,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
*小郷　裕哉,90,193,173,18,30,7,2,2,47,12,11,0,1,2,16,1,1,54,0,0.173,0.272,0.245
加治屋　蓮,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*辛島　航,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岸　孝之,19,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
*黒川　史陽,83,343,301,32,90,8,1,4,112,33,1,1,2,3,35,2,2,56,4,0.299,0.372,0.372
ゴンザレス,53,208,201,18,46,5,1,4,65,19,0,2,0,1,4,1,2,37,10,0.229,0.323,0.25
*古謝　樹,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*小深田　大翔,124,357,299,36,65,5,2,1,77,14,28,8,16,1,40,0,1,65,1,0.217,0.258,0.311
小孫　竜二,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小森　航大郎,33,80,76,8,15,1,0,1,19,3,5,0,0,1,2,0,1,21,1,0.197,0.25,0.225
今野　龍太,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
坂井　陽翔,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柴田　大地,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*島内　宏明,5,11,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.091
荘司　康誠,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*鈴木　翔天,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*鈴木　大地,93,198,172,13,41,3,2,2,54,23,1,0,1,1,13,1,11,29,5,0.238,0.314,0.33
*宋　家豪,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*ターリー,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
泰　勝利,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
瀧中　瞭太,15,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
*辰己　涼介,114,422,367,36,88,12,2,7,125,32,20,0,1,5,40,0,9,91,12,0.24,0.341,0.325
#NAME?,19,18,18,5,1,0,0,0,1,1,1,0,0,0,0,0,0,8,0,0.056,0.056,0.056
*田中　貴也,12,5,3,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0.333,0.333,0.5
津留﨑　大成,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中込　陽翔,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*中島　大輔,124,491,462,51,123,11,5,6,162,31,22,4,8,2,17,0,2,75,4,0.266,0.351,0.294
*西垣　雅矢,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西口　直人,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*則本　昂大,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ハワード,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
*早川　隆久,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
*林　優樹,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日當　直喜,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フランコ,101,347,317,21,75,9,0,7,105,32,0,1,0,5,24,1,1,65,6,0.237,0.331,0.288
*藤井　聖,22,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
藤平　尚真,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボイト,67,276,243,29,73,9,0,13,121,39,0,0,0,0,27,2,6,59,5,0.3,0.498,0.384
*堀内　謙伍,76,194,168,16,43,3,1,3,57,18,1,0,8,1,17,1,0,39,3,0.256,0.339,0.323
松井　友飛,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
松田　啄磨,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮森　智志,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*武藤　敦貴,62,130,108,21,22,3,2,0,29,10,3,2,4,2,14,0,2,31,0,0.204,0.269,0.302
*宗山　塁,122,460,430,32,112,19,3,3,146,27,7,0,0,9,20,2,1,82,10,0.26,0.34,0.289
村林　一輝,137,557,513,41,144,14,0,3,167,51,6,2,10,3,28,2,3,102,14,0.281,0.326,0.32
#NAME?,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
*陽　柏翔,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0.5
吉野　創士,5,13,13,0,3,0,0,0,3,2,0,0,0,0,0,0,0,2,1,0.231,0.231,0.231
*吉納　翼,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
渡辺　翔太,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*渡邊　佳明,75,166,147,7,41,4,0,0,45,19,0,0,1,6,12,0,0,17,4,0.279,0.306,0.321
東　晃平,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
*阿部　翔太,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
井口　和朋,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川　亮,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
入山　海斗,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩嵜　翔,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エスピノーザ,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
オリバレス,11,35,33,1,6,1,0,0,7,0,1,0,0,0,2,0,0,8,0,0.182,0.212,0.229
*大里　昂生,46,101,85,12,19,0,2,0,23,7,4,2,4,1,11,0,0,15,0,0.224,0.271,0.309
大城　滉二,66,79,68,12,17,0,0,0,17,6,2,0,4,0,6,0,1,20,0,0.25,0.25,0.32
太田　椋,113,496,448,42,127,10,0,10,167,52,0,2,6,4,33,3,5,102,12,0.283,0.373,0.337
*片山　楽生,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川瀬　堅斗,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*来田　涼斗,50,135,124,14,29,5,0,2,40,5,5,0,2,1,7,0,1,38,1,0.234,0.323,0.278
九里　亜蓮,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
紅林　弘太郎,116,447,400,36,104,20,1,9,153,43,1,2,4,5,35,2,3,57,15,0.26,0.383,0.321
元　謙太,31,10,7,6,1,0,0,0,1,0,0,0,1,0,2,0,0,3,0,0.143,0.143,0.333
古田島　成龍,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
権田　琉成,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
才木　海翔,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*佐藤　一磨,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*杉澤　龍,14,16,15,0,3,1,0,0,4,2,0,1,1,0,0,0,0,4,0,0.2,0.267,0.2
杉本　裕太郎,119,455,401,48,104,15,2,16,171,53,1,0,0,7,38,1,9,123,8,0.259,0.426,0.332
*曽谷　龍平,21,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
髙島　泰都,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*田嶋　大樹,18,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
*茶野　篤政,3,12,12,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.167
ディアス,50,138,127,6,29,4,0,2,39,6,0,0,0,0,11,0,0,31,5,0.228,0.307,0.29
寺西　成騎,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*東松　快征,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*富山　凌雅,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
頓宮　裕真,129,525,473,41,118,20,0,13,177,54,1,0,0,4,43,2,5,81,10,0.249,0.374,0.316
中川　圭太,119,463,433,54,123,26,1,12,187,53,10,2,5,4,20,1,1,49,9,0.284,0.432,0.314
*西川　龍馬,96,412,387,29,120,23,1,5,160,40,4,1,4,1,18,2,2,60,5,0.31,0.413,0.343
*西野　真弘,75,252,230,27,66,9,3,7,102,35,0,0,6,0,15,0,1,17,4,0.287,0.443,0.333
*野口　智哉,33,64,55,10,8,5,1,1,18,3,0,1,0,0,6,0,3,16,0,0.145,0.327,0.266
平野　佳寿,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
廣岡　大志,118,453,402,43,102,15,1,7,140,34,9,7,8,4,39,0,0,90,9,0.254,0.348,0.317
博志,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*福田　周平,23,64,54,2,9,1,0,0,10,3,1,0,6,0,4,0,0,9,2,0.167,0.185,0.224
福永　奨,39,74,66,5,10,2,1,1,17,6,0,0,1,1,4,0,2,23,1,0.152,0.258,0.219
ペルドモ,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
堀　柊那,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.333,0.333,0.333
本田　圭佑,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マチャド,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*宮城　大弥,23,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
*麦谷　祐介,79,153,134,23,31,4,2,1,42,10,12,6,1,1,16,0,1,39,0,0.231,0.313,0.316
椋木　蓮,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*宗　佑磨,98,388,349,33,82,12,1,6,114,28,3,4,3,1,26,1,9,48,4,0.235,0.327,0.304
*森　友哉,50,191,161,16,33,8,0,1,44,14,0,0,0,1,26,1,3,31,0,0.205,0.273,0.325
*山岡　泰輔,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山口　廉王,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山﨑　颯一郎,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山下　舜平大,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*山田　修義,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*山中　稜真,19,52,49,2,6,1,1,1,12,3,0,0,0,0,3,0,0,9,2,0.122,0.245,0.173
#NAME?,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*横山　聖哉,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
若月　健矢,121,400,368,30,100,16,2,6,138,31,2,0,8,1,16,0,7,61,7,0.272,0.375,0.314
*渡部　遼人,51,14,10,9,2,0,0,0,2,0,2,0,1,0,2,0,1,4,0,0.2,0.2,0.385
青山　美夏人,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
糸川　亮太,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今井　達也,24,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
ウィンゲンター,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上田　大河,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*甲斐野　央,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岸　潤一郎,10,31,30,2,5,3,0,0,8,0,0,0,0,0,1,0,0,3,0,0.167,0.267,0.194
*栗山　巧,11,23,23,0,2,0,0,0,2,0,0,0,0,0,0,0,0,7,1,0.087,0.087,0.087
*黒木　優太,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黒田　将矢,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*源田　壮亮,104,361,320,21,67,11,5,0,88,20,8,5,11,3,25,0,2,60,4,0.209,0.275,0.269
古賀　悠斗,112,328,289,26,66,8,0,7,95,21,1,1,7,0,32,0,0,62,9,0.228,0.329,0.305
児玉　亮涼,60,53,47,9,8,2,0,0,10,3,1,2,1,0,4,0,1,9,0,0.17,0.213,0.25
齋藤　大翔,4,12,11,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,1,0.091,0.091,0.167
*佐々木　健,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*佐藤　隼輔,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*佐藤　太陽,13,34,30,2,5,1,1,0,8,3,0,0,1,0,2,0,1,7,0,0.167,0.267,0.242
